1854,Equality [Gallatin Co.]
1855,Erie [Whiteside Co.]
1856,Eureka [Woodford Co.]
1857,Evanston [Cook Co.]
1858,Evansville [Randolph Co.]
1859,Fairbury [Livingston Co.]
1860,Fairfield [Wayne Co.]
1861,Fairmount [Vermilion Co.]
1862,Fairview [Fulton Co.]
1863,Farina [Fayette Co.]
1864,Farmer City [De Witt Co.]
1865,Farmington [Fulton Co.]
1866,Findlay [Shelby Co.]
1867,Fisher [Champaign Co.]
1868,Flanagan [Livingston Co.]
1869,Flora [Clay Co.]
1870,Forrest [Livingston Co.]
1871,Forreston [Ogle Co.]
1872,Frankfort [Will Co.]
1873,Franklin [Morgan Co.]
1874,Franklin Grove [Lee Co.]
1875,Freeburg [Saint Clair Co.]
1876,Freeport [Stephenson Co.]
1877,Fulton [Whiteside Co.]
1878,Galatia [Saline Co.]
1879,Galena [Jo Daviess Co.]
1880,Galesburg [Knox Co.]
1881,Galva [Henry Co.]
1882,Gardner [Grundy Co.]
1883,Geneseo [Henry Co.]
1884,Geneva [Kane Co.]
1885,Genoa [De Kalb Co.]
1886,Georgetown [Vermilion Co.]
1887,Germantown [Clinton Co.]
1888,Gibson City [Ford Co.]
1889,Gifford [Champaign Co.]
1890,Gillespie [Macoupin Co.]
1891,Gilman [Iroquois Co.]
1892,Girard [Macoupin Co.]
1893,Glen Ellyn [Du Page Co.]
1894,Golconda [Pope Co.]
1895,Golden [Adams Co.]
1896,Grafton [Jersey Co.]
1897,Grand Chain [Pulaski Co.]
1898,Granite City [Madison Co.]
1899,Grant Park [Kankakee Co.]
1900,Grays Lake [Lake Co.]
1901,Grayville [White Co.] [Edwards Co.]
1902,Green Valley [Tazewell Co.]
1903,Greenfield [Greene Co.]
1904,Greenup [Cumberland Co.]
1905,Greenview [Menard Co.]
1906,Greenville [Bond Co.]
1907,Griggsville [Pike Co.]
1908,Hamilton [Hancock Co.]
1909,Hampshire [Kane Co.]
1910,Hampton [Rock Island Co.]
1911,Hanover [Jo Daviess Co.]
1912,Hardin [Calhoun Co.]
1913,Harrisburg [Saline Co.]
1914,Hartsburg [Logan Co.]
1915,Harvard [McHenry Co.]
1916,Harvel [Montgomery Co.] [Christian Co.]
